time,open,high,low,close,volume
2024-02-28,97.68,99.31,96.25,97.97,235412
2024-02-29,97.97,101.31,97.40,100.36,297317
2024-03-01,101.31,101.31,99.40,100.36,205085
2024-03-04,100.84,100.93,99.40,99.50,232265
2024-03-05,99.31,100.26,98.45,99.40,249738
2024-03-06,99.40,103.13,98.73,99.40,474573
2024-03-07,99.40,102.18,99.40,101.60,299898
2024-03-08,101.70,102.75,100.36,100.55,170295
2024-03-11,101.31,107.53,101.22,107.53,879371
2024-03-12,109.92,114.98,109.72,112.69,1039270
2024-03-13,114.70,117.56,112.50,114.31,506227
2024-03-14,114.31,116.13,111.35,112.31,886874
2024-03-15,112.31,113.55,109.25,113.26,675201
2024-03-18,113.26,114.70,105.62,110.59,1067627
2024-03-19,110.97,114.70,110.01,112.78,276057
2024-03-20,112.40,115.65,109.92,113.84,609581
2024-03-21,115.56,121.77,114.22,121.77,935241
2024-03-22,121.77,123.11,120.53,122.63,323696
2024-03-25,125.21,125.97,121.58,124.25,299799
2024-03-26,124.25,129.03,122.34,129.03,360078
2024-03-27,129.03,137.25,127.79,136.39,560288
2024-03-28,136.39,140.50,135.91,135.91,296272
2024-03-29,135.72,135.72,127.31,132.19,686609
2024-04-01,131.90,131.90,128.08,128.56,476516
2024-04-02,128.65,133.52,128.56,131.42,274402
2024-04-03,131.42,133.43,129.03,129.03,359202
2024-04-04,128.08,131.04,126.36,127.60,409758
2024-04-05,126.16,129.80,125.78,126.36,444957
2024-04-08,128.65,128.65,120.24,121.39,646024
2024-04-09,120.05,122.34,119.28,119.38,482684
2024-04-10,119.95,122.82,119.95,120.14,187043
2024-04-11,119.00,119.00,115.65,117.47,611614
2024-04-12,117.08,121.39,117.08,119.76,153080
2024-04-15,119.48,121.10,111.45,111.45,462739
2024-04-16,111.45,114.22,105.62,114.22,613938
2024-04-17,114.70,115.46,112.78,113.45,285183
2024-04-19,113.36,113.36,107.05,107.24,740521
2024-04-22,109.92,114.70,109.34,114.70,564355
2024-04-23,114.70,116.22,111.64,112.78,246194
2024-04-24,118.52,119.86,113.74,119.09,469594
2024-04-25,120.34,123.30,116.61,117.18,671591
2024-04-26,117.18,120.72,116.03,118.52,405920
2024-05-02,119.00,121.96,116.61,121.86,456884
2024-05-03,122.82,125.21,119.48,124.25,739001
2024-05-06,124.16,125.88,123.11,125.11,377378
2024-05-07,125.11,126.16,122.25,123.20,578010
2024-05-08,123.01,126.16,120.91,123.78,371595
2024-05-09,124.06,127.60,123.49,125.11,395811
2024-05-10,125.11,125.11,122.15,123.11,275049
2024-05-13,123.01,123.11,119.48,120.53,376757
2024-05-14,120.91,121.58,119.76,120.91,303726
2024-05-15,121.58,129.32,121.39,129.32,1127855
2024-05-16,133.91,133.91,128.08,128.08,549678
2024-05-17,130.28,130.28,127.79,128.46,499990
2024-05-20,130.47,130.47,124.92,125.21,818007
2024-05-21,125.21,127.12,122.53,123.58,636393
2024-05-22,126.16,126.16,123.01,123.39,388207
2024-05-23,123.68,125.78,122.34,125.78,415438
2024-05-24,125.21,125.21,119.48,120.91,422831
2024-05-27,121.48,124.25,120.91,123.30,306323
2024-05-28,124.25,127.79,124.16,127.31,694710
2024-05-29,128.46,128.46,124.64,124.73,285231
2024-05-30,123.30,124.73,122.34,124.06,285715
2024-05-31,124.25,126.36,123.11,125.69,208470
2024-06-03,126.55,130.08,126.26,128.08,580130
2024-06-04,129.03,129.22,126.93,127.69,339191
2024-06-05,128.56,131.42,127.12,127.12,583685
2024-06-06,127.12,129.03,125.59,125.78,246415
2024-06-07,126.07,127.89,125.50,127.79,237729
2024-06-10,127.79,128.08,125.69,126.64,447959
2024-06-11,126.64,126.64,124.64,126.64,356226
2024-06-12,126.64,127.60,125.21,127.31,258363
2024-06-13,128.08,136.20,127.89,136.20,2068402
2024-06-14,136.30,145.66,136.30,145.57,965742
2024-06-17,145.57,154.65,145.57,148.63,818451
2024-06-18,151.02,153.12,149.01,151.02,573336
2024-06-19,151.11,154.84,145.28,151.49,636500
2024-06-20,151.88,154.55,149.01,151.49,413690
2024-06-21,151.49,154.84,151.49,153.12,1001026
2024-06-24,153.12,153.88,142.41,144.32,1308632
2024-06-25,144.32,144.80,141.36,143.75,408792
2024-06-26,143.94,144.80,138.59,142.99,532613
2024-06-27,142.22,142.89,141.46,141.65,157841
2024-06-28,140.02,144.23,133.81,134.38,726721
2024-07-01,134.38,138.59,131.33,137.25,361695
2024-07-02,137.35,140.02,136.68,137.35,269851
2024-07-03,138.59,138.59,136.58,138.02,162718
2024-07-04,138.02,140.02,137.16,138.78,329373
2024-07-05,139.55,143.75,138.88,143.37,398639
2024-07-08,143.37,143.85,140.60,141.08,443651
2024-07-09,141.08,141.94,138.59,139.07,332363
2024-07-10,138.59,142.41,138.59,140.79,257372
2024-07-11,141.65,141.65,139.74,139.93,142699
2024-07-12,140.02,142.70,140.02,140.60,389111
2024-07-15,140.69,141.46,138.59,139.07,171432
2024-07-16,139.07,139.35,134.29,135.72,389230
2024-07-17,136.01,136.58,126.26,132.28,909623
2024-07-18,132.09,132.19,124.92,128.46,480487
2024-07-19,130.94,130.94,127.98,129.22,142375
2024-07-22,129.03,129.03,121.48,122.44,559898
2024-07-23,121.39,124.06,116.51,116.61,520031
2024-07-24,113.84,124.73,112.31,124.73,857684
2024-07-25,124.64,124.64,120.43,123.30,313345
2024-07-26,122.34,127.98,120.81,127.12,456026
2024-07-29,127.12,127.89,125.11,125.69,184847
2024-07-30,125.69,125.88,122.34,124.73,327235
2024-07-31,124.25,124.25,120.43,120.43,410178
2024-08-01,120.53,121.58,114.98,118.04,590437
2024-08-02,115.36,119.00,113.93,118.52,552917
2024-08-05,114.79,117.56,110.30,110.49,593056
2024-08-06,110.59,114.70,107.53,114.03,606385
2024-08-07,114.03,115.46,112.78,113.74,295338
2024-08-08,114.12,114.12,111.06,112.69,300140
2024-08-09,113.74,119.00,113.17,117.47,368915
2024-08-12,118.23,118.52,117.18,117.56,171066
2024-08-13,117.75,119.86,115.08,115.65,465475
2024-08-14,116.70,117.47,115.65,115.65,129644
2024-08-15,115.75,115.94,114.22,114.31,251657
2024-08-16,114.70,122.25,114.70,122.25,715206
2024-08-19,125.21,125.21,120.43,121.86,278202
2024-08-20,123.97,123.97,120.91,122.44,389034
2024-08-21,122.44,124.25,122.44,122.82,220980
2024-08-22,122.82,123.68,121.20,121.58,355902
2024-08-23,121.67,124.25,120.62,122.92,196322
2024-08-26,123.11,124.73,121.29,121.29,240933
2024-08-27,121.00,122.25,119.95,121.39,163916
2024-08-28,121.39,122.25,120.53,120.53,171884
2024-08-29,120.62,121.20,120.05,120.14,110371
2024-08-30,120.34,123.01,120.34,122.44,287559
2024-09-04,120.72,121.67,120.53,121.58,245829
2024-09-05,121.58,121.67,119.48,119.48,232590
2024-09-06,119.48,119.48,117.56,119.00,197032
2024-09-09,118.90,119.76,117.56,118.90,114550
2024-09-10,119.76,119.76,117.66,117.66,146141
2024-09-11,117.56,119.00,116.61,117.56,121733
2024-09-12,118.52,119.19,117.75,118.90,191391
2024-09-13,118.71,120.24,118.52,119.48,117931
2024-09-16,119.48,120.14,118.52,118.52,167517
2024-09-17,117.75,119.09,117.28,119.09,159370
2024-09-18,119.57,127.41,119.57,127.41,1148316
2024-09-19,129.99,129.99,127.69,128.56,419583
2024-09-20,128.94,129.51,125.88,126.83,487831
2024-09-23,127.22,127.22,123.39,123.39,449619
2024-09-24,124.06,129.51,124.06,127.60,512018
2024-09-25,127.60,128.94,126.55,126.64,273494
2024-09-26,126.64,127.50,125.30,125.50,250474
2024-09-27,126.78,126.78,123.56,123.95,506828
2024-09-30,123.66,124.64,123.17,123.37,142017
2024-10-01,124.05,125.22,123.27,123.27,208638
2024-10-02,123.27,124.15,122.98,123.76,166662
2024-10-03,123.95,125.12,122.78,123.17,188518
2024-10-04,122.98,127.27,122.98,124.93,552501
2024-10-07,124.93,126.39,124.64,124.93,128332
2024-10-08,124.93,126.39,124.64,125.12,331774
2024-10-09,125.42,131.76,125.42,129.91,761139
2024-10-10,130.30,130.59,128.64,130.00,318389
2024-10-11,129.32,133.71,128.93,132.35,340987
2024-10-14,132.74,132.74,130.20,130.39,217952
2024-10-15,130.39,131.56,128.34,128.34,220761
2024-10-16,128.34,130.20,128.15,130.00,210739
2024-10-17,130.00,132.25,128.44,129.61,250070
2024-10-18,129.71,131.76,128.34,128.83,327038
2024-10-21,128.83,129.12,127.56,127.56,149852
2024-10-22,126.88,127.56,123.95,124.34,524204
2024-10-23,124.24,124.24,122.39,123.07,443349
2024-10-24,123.17,125.61,123.17,123.56,194808
2024-10-25,123.95,124.44,123.27,123.56,276369
2024-10-28,124.44,125.42,123.95,124.64,243758
2024-10-29,125.42,128.73,124.93,126.20,388632
2024-10-30,126.39,126.59,124.73,124.83,153918
2024-10-31,124.64,125.42,123.66,123.76,292160
2024-11-01,123.37,124.05,121.22,121.22,547943
2024-11-04,121.51,122.20,118.88,121.02,534838
2024-11-05,121.02,121.90,120.63,121.51,201030
2024-11-06,122.39,123.76,121.51,122.10,540305
2024-11-07,122.98,128.34,122.20,125.03,1119576
2024-11-08,125.90,130.59,124.54,128.05,1211687
2024-11-11,129.91,131.56,126.10,126.29,1387271
2024-11-12,126.29,128.34,123.95,128.05,1439076
2024-11-13,128.83,136.25,128.05,134.88,2655839
2024-11-14,135.47,135.66,129.32,129.71,1265057
2024-11-15,127.08,129.71,123.17,126.39,1655117
2024-11-18,128.83,128.83,120.54,122.00,1546736
2024-11-19,122.88,122.88,114.29,114.29,2227561
2024-11-20,115.07,119.07,108.63,113.70,1321474
2024-11-21,114.19,117.41,114.19,116.73,629182
2024-11-22,117.41,118.97,115.85,116.05,725058
2024-11-25,116.14,117.02,115.46,116.05,739236
2024-11-26,116.83,116.83,113.51,113.80,1596279
2024-11-27,114.19,115.66,113.80,113.90,866353
2024-11-28,114.39,116.44,114.39,114.78,746429
2024-11-29,115.66,120.05,114.78,116.63,2670966
2024-12-02,117.12,119.07,115.27,115.95,1276378
2024-12-03,116.05,122.49,115.27,122.00,2718978
2024-12-04,122.59,124.44,120.54,123.17,1784355
2024-12-05,123.46,123.46,118.10,119.95,1695301
2024-12-06,121.80,121.80,120.15,121.51,740035
2024-12-09,122.00,122.00,120.44,121.12,645475
2024-12-10,121.32,121.32,119.27,121.02,921266
2024-12-11,120.05,121.12,119.56,120.24,573368
2024-12-12,120.24,121.02,118.88,119.27,513403
2024-12-13,118.88,119.66,117.61,117.61,691629
2024-12-16,117.61,118.49,116.24,117.80,625783
2024-12-17,117.80,119.66,117.41,119.07,304871
2024-12-18,119.07,120.05,118.29,119.56,276468
2024-12-19,118.10,120.83,117.41,119.27,648228
2024-12-20,119.46,121.02,119.07,119.56,821188
2024-12-23,120.93,120.93,118.97,119.56,362852
2024-12-24,119.66,122.00,119.56,122.00,1276339
2024-12-25,122.78,123.56,120.44,122.88,1009629
2024-12-26,122.98,123.07,121.12,122.00,627705
2024-12-27,121.02,121.41,119.76,119.95,801592
2024-12-30,119.76,120.05,118.88,120.05,464678
2024-12-31,120.05,121.61,120.05,121.51,567732
